City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
2,Balutakay,PH,77.74,broken clouds,6.7211,125.3517,Shark Beach Resort
3,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Bethel,US,81.9,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
5,Jamestown,US,79.02,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
6,Amahai,ID,76.35,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
12,Olga,RU,71.17,broken clouds,43.7444,135.2892,Gostinitsa Rosmorport.
13,Saint-Philippe,RE,71.15,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Sioux Lookout,CA,73.78,smoke,50.1001,-91.917,Knobby's Fly-In Camps
19,Vila Velha,BR,76.96,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
21,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
23,Kavieng,PG,82.33,clear sky,-2.5744,150.7967,Nusa Island Retreat
24,Porbandar,IN,82.83,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
26,Parry Sound,CA,73.74,overcast clouds,45.3501,-80.033,Bayside Inn
30,Boysun,UZ,85.57,clear sky,38.2061,67.1986,Gaza Hotel
34,San Patricio,US,89.02,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
36,Salvador,SV,84.06,overcast clouds,13.8333,-88.9167,Chico's Ranch
38,Springdale,US,88.25,clear sky,36.1867,-94.1288,Springdale Inn
40,Bengkulu,ID,77.45,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
43,Ponta Do Sol,PT,83.71,clear sky,32.6667,-17.1,Hotel do Campo
44,Mardin,TR,88.56,clear sky,37.3131,40.7436,Reyhani Kasri Hotel
51,Jiutai,CN,77.07,light rain,44.1525,125.8328,Jinhua Restaurant
56,Castro,BR,70.88,clear sky,-24.7911,-50.0119,CHACARA BAILLY
59,Esmeraldas,BR,75.94,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
60,Vaini,TO,76.98,clear sky,-21.2,-175.2,Keleti Beach Resort
