City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Airai,TL,-8.9266,125.4092,56.61,42,24,3.04,few clouds
1,Kodiak,US,57.79,-152.4072,50.67,98,100,7.63,overcast clouds
2,Balutakay,PH,6.7211,125.3517,77.74,88,77,8.84,broken clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,78.76,77,34,8.99,scattered clouds
4,Bethel,US,41.3712,-73.414,81.9,55,0,2.86,clear sky
5,Jamestown,US,42.097,-79.2353,79.02,54,73,8.01,broken clouds
6,Amahai,ID,-3.3333,128.9167,76.35,88,100,3.09,overcast clouds
7,East London,ZA,-33.0153,27.9116,59.07,68,0,19.22,clear sky
8,Rikitea,PF,-23.1203,-134.9692,68.7,55,0,2.98,clear sky
9,Luderitz,NA,-26.6481,15.1594,66.99,31,4,4.61,clear sky
10,Feijo,BR,-8.1642,-70.3536,93.06,34,24,1.88,few clouds
11,Port Elizabeth,ZA,-33.918,25.5701,57.09,51,0,9.57,clear sky
12,Olga,RU,43.7444,135.2892,71.17,97,70,2.26,broken clouds
13,Saint-Philippe,RE,-21.3585,55.7679,71.15,81,60,6.64,light rain
14,Zunyi,CN,27.6867,106.9072,69.53,93,15,3.98,few clouds
15,Iztapa,GT,13.9333,-90.7075,93.63,64,100,2.37,overcast clouds
16,Lokomotivnyy,RU,53.0118,60.5684,65.35,77,94,7.07,overcast clouds
17,Cape Town,ZA,-33.9258,18.4232,63.01,61,0,1.99,clear sky
18,Sioux Lookout,CA,50.1001,-91.917,73.78,56,20,8.05,smoke
19,Vila Velha,BR,-20.3297,-40.2925,76.96,55,55,8.03,broken clouds
20,Moose Factory,CA,51.2585,-80.6094,64.02,87,100,13.4,overcast clouds
21,Mahajanga,MG,-15.7167,46.3167,75.22,73,20,6.91,few clouds
22,Punta Arenas,CL,-53.15,-70.9167,39.22,81,75,12.66,light rain
23,Kavieng,PG,-2.5744,150.7967,82.33,77,4,11.05,clear sky
24,Porbandar,IN,21.6422,69.6093,82.83,85,86,15.03,overcast clouds
25,Yellowknife,CA,62.456,-114.3525,49.32,66,75,1.99,broken clouds
26,Parry Sound,CA,45.3501,-80.033,73.74,60,100,14.92,overcast clouds
27,Ahipara,NZ,-35.1667,173.1667,52.5,86,38,9.37,scattered clouds
28,Dudinka,RU,69.4058,86.1778,53.35,68,85,8.79,overcast clouds
29,Hermanus,ZA,-34.4187,19.2345,56.8,58,75,1.21,broken clouds
30,Boysun,UZ,38.2061,67.1986,85.57,16,0,7.99,clear sky
31,Sitka,US,57.0531,-135.33,54.79,90,98,3.71,light rain
32,Aklavik,CA,68.2191,-135.0107,61.63,94,90,5.75,moderate rain
33,Nanortalik,GL,60.1432,-45.2371,43.77,96,100,11.83,overcast clouds
34,San Patricio,US,28.017,-97.5169,89.02,51,0,13.51,clear sky
35,Busselton,AU,-33.65,115.3333,56.08,74,99,15.43,overcast clouds
36,Salvador,SV,13.8333,-88.9167,84.06,60,92,2.93,overcast clouds
37,Saskylakh,RU,71.9167,114.0833,56.12,65,93,5.37,overcast clouds
38,Springdale,US,36.1867,-94.1288,88.25,71,1,10.0,clear sky
39,Bredasdorp,ZA,-34.5322,20.0403,60.12,59,52,8.05,broken clouds
40,Bengkulu,ID,-3.8004,102.2655,77.45,84,9,6.55,clear sky
41,Kaolinovo,BG,43.6167,27.1167,77.79,42,35,9.33,scattered clouds
42,Bilma,NE,18.6853,12.9164,103.77,22,38,12.33,scattered clouds
43,Ponta Do Sol,PT,32.6667,-17.1,83.71,66,0,4.9,clear sky
44,Mardin,TR,37.3131,40.7436,88.56,15,0,11.99,clear sky
45,Albany,US,42.6001,-73.9662,79.81,57,2,1.99,clear sky
46,Pevek,RU,69.7008,170.3133,37.13,93,92,4.52,overcast clouds
47,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,71,40,14.97,scattered clouds
48,New Norfolk,AU,-42.7826,147.0587,44.92,83,100,1.01,overcast clouds
49,Iquique,CL,-20.2208,-70.1431,62.64,65,73,8.63,broken clouds
50,Leningradskiy,RU,69.3833,178.4167,36.46,94,99,3.31,overcast clouds
51,Jiutai,CN,44.1525,125.8328,77.07,69,93,7.9,light rain
52,Talnakh,RU,69.4865,88.3972,56.43,66,73,9.17,broken clouds
53,Bilibino,RU,68.0546,166.4372,44.91,82,46,1.36,scattered clouds
54,Nushki,PK,29.5542,66.0215,97.3,13,49,2.68,scattered clouds
55,Esperance,AU,-33.8667,121.9,51.64,77,14,18.1,few clouds
56,Castro,BR,-24.7911,-50.0119,70.88,39,0,7.52,clear sky
57,Kaitangata,NZ,-46.2817,169.8464,40.93,56,70,4.5,broken clouds
58,Pangnirtung,CA,66.1451,-65.7125,48.2,66,90,3.44,light rain
59,Esmeraldas,BR,-19.7625,-44.3139,75.94,31,0,7.52,clear sky
60,Vaini,TO,-21.2,-175.2,76.98,81,4,4.83,clear sky
61,Mar Del Plata,AR,-38.0023,-57.5575,55.0,64,0,11.99,clear sky
62,Slave Lake,CA,55.2834,-114.769,64.51,48,0,15.21,clear sky
63,Gazimurskiy Zavod,RU,51.5461,118.3266,53.94,98,73,3.31,broken clouds
64,Thompson,CA,55.7435,-97.8558,62.76,77,90,11.5,overcast clouds
65,Mandera,KE,3.9366,41.867,88.41,29,100,20.83,overcast clouds
66,Iqaluit,CA,63.7506,-68.5145,49.73,66,75,18.99,broken clouds
67,Santa Cruz,BO,-17.8,-63.1667,85.46,45,0,20.71,clear sky
68,Salyan,AZ,39.5936,48.9805,81.81,59,0,15.61,clear sky
69,Pasighat,IN,28.0667,95.3333,78.94,97,98,3.38,heavy intensity rain
70,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,8.05,broken clouds
71,Vanimo,PG,-2.6741,141.3028,75.25,94,99,3.78,overcast clouds
72,Bluff,NZ,-46.6,168.3333,39.79,78,88,11.92,overcast clouds
73,Beringovskiy,RU,63.05,179.3167,50.23,91,100,8.1,overcast clouds
74,Birao,CF,10.2849,22.7882,84.58,54,77,4.54,broken clouds
75,Constitucion,CL,-35.3333,-72.4167,53.17,83,99,12.37,overcast clouds
76,Kahului,US,20.8947,-156.47,77.85,89,1,9.22,clear sky
77,Kautokeino,NO,69.0125,23.0412,56.77,64,100,13.44,overcast clouds
78,Progreso,MX,21.2833,-89.6667,88.11,67,99,7.78,overcast clouds
79,Avarua,CK,-21.2078,-159.775,68.05,88,75,3.44,broken clouds
80,Khatanga,RU,71.9667,102.5,60.67,88,93,9.04,overcast clouds
81,Lata,PT,40.1629,-8.3327,81.05,44,4,11.97,clear sky
82,Wagar,SD,16.1525,36.2032,75.58,85,100,14.88,overcast clouds
83,Ushuaia,AR,-54.8,-68.3,37.06,81,20,5.75,few clouds
84,Mataura,NZ,-46.1927,168.8643,39.47,92,93,4.03,overcast clouds
85,Hobart,AU,-42.8794,147.3294,45.27,84,99,1.01,overcast clouds
86,Kumluca,TR,36.3703,30.2869,86.65,53,9,7.99,clear sky
87,Kavaratti,IN,10.5669,72.642,81.97,83,15,19.26,few clouds
88,Narsaq,GL,60.9167,-46.05,44.46,94,100,5.91,light rain
89,Geraldton,AU,-28.7667,114.6,54.01,94,40,6.91,scattered clouds
