City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lukulu,-14.3707,23.242,56.57,43,4,4.25,ZM,2021-07-19 20:30:14
1,Jamestown,42.097,-79.2353,83.52,55,1,5.01,US,2021-07-19 20:26:45
2,Mirnyy,62.5353,113.9611,60.64,68,100,1.01,RU,2021-07-19 20:30:15
3,Albany,42.6001,-73.9662,79.41,80,99,1.21,US,2021-07-19 20:28:21
4,San Francisco,37.7749,-122.4194,96.89,66,20,4.0,US,2021-07-19 20:30:08
5,Inuvik,68.3499,-133.7218,74.26,77,40,4.61,CA,2021-07-19 20:30:15
6,Barra Da Estiva,-13.6261,-41.3269,69.4,39,0,1.77,BR,2021-07-19 20:30:15
7,Upernavik,72.7868,-56.1549,40.93,82,98,4.36,GL,2021-07-19 20:30:16
8,Ushuaia,-54.8,-68.3,42.46,70,40,4.61,AR,2021-07-19 20:28:38
9,Thompson,55.7435,-97.8558,68.16,37,40,5.75,CA,2021-07-19 20:30:16
10,Kavieng,-2.5744,150.7967,81.28,77,100,10.13,PG,2021-07-19 20:30:17
11,Rikitea,-23.1203,-134.9692,69.75,73,100,23.31,PF,2021-07-19 20:30:17
12,Itaueira,-7.6033,-43.0256,87.01,28,7,3.42,BR,2021-07-19 20:30:17
13,Kropotkin,45.4375,40.5756,80.26,45,0,5.08,RU,2021-07-19 20:30:18
14,Victor Harbor,-35.5667,138.6167,55.49,90,100,23.15,AU,2021-07-19 20:30:18
15,Okhotsk,59.3833,143.3,58.32,82,6,4.47,RU,2021-07-19 20:27:03
16,Konibodom,40.2843,70.4426,78.57,34,97,4.05,TJ,2021-07-19 20:30:19
17,Punta Arenas,-53.15,-70.9167,41.11,81,75,16.11,CL,2021-07-19 20:30:19
18,Yellowknife,62.456,-114.3525,69.3,70,90,9.22,CA,2021-07-19 20:30:19
19,Hobyo,5.3505,48.5268,76.51,82,97,25.34,SO,2021-07-19 20:30:20
20,Brigantine,39.4101,-74.3646,87.3,59,75,10.36,US,2021-07-19 20:30:20
21,Mataura,-46.1927,168.8643,35.47,92,47,3.2,NZ,2021-07-19 20:30:20
22,Hobart,-42.8794,147.3294,49.23,76,40,3.0,AU,2021-07-19 20:30:20
23,Nikolskoye,59.7035,30.7861,62.49,79,1,5.03,RU,2021-07-19 20:30:21
24,Olga,43.7444,135.2892,71.71,88,12,2.95,RU,2021-07-19 20:30:21
25,Qaanaaq,77.484,-69.3632,38.5,88,85,2.39,GL,2021-07-19 20:25:25
